entailment	id	similarity	sent1	sent2
Entailment	2236	5.0	Uma banda está apresentando-se sobre o palco	Uma banda está apresentando-se no palco
Entailment	2693	4.2	Os homens estão lutando com os punhos em um ringue	Duas pessoas estão lutando com os punhos em um ringue
Entailment	2138	4.4	O homem negro e musculoso está dançando e o homem atrás dele está usando miçangas verdes	O homem musculoso está dançando e o homem atrás dele está usando miçangas verdes
None	5203	1.4	Uma mulher está fervendo camarões	Uma mulher está penteando o cabelo
Entailment	1401	5.0	O menino e a menina estão brincando na academia ao ar livre	Um menino e uma menina estão brincando do lado de fora da academia
None	3763	4.2	Uma pessoa está dirigindo um jet ski nas ondas	Uma mulher está andando em uma moto aquática
Entailment	2110	4.8	A apresentação está sendo assistida por uma turma de estudantes	A apresentação está sendo assistida por uma classe de estudantes
None	4440	3.3	Um jovem alpinista está fazendo uma parede de escalada para os meninos	O menino jovem está escalando a parede de pedra
Entailment	184	4.9	O homem está de pé na água na base da cachoeira	Um homem está de pé na água na base de uma cachoeira
None	4618	1.0	Uma pessoa está despejando vegetais picados em uma panela no fogão	Um jacaré está levando um tapa na boca de um homem
None	5728	3.2	Não tem nenhuma senhora de pintura corporal andando em frente a uma multidão	Uma jovem mulher de topless está coberta de tinta
Entailment	204	4.8	O homem de chapéu para vaqueiro está andando por um mercado e está pondo uma mão no seu bolso	O homem de chapéu de vaqueiro está andando pelo mercado e está colocando uma mão no bolso
None	5819	1.0	Alguém está dando comida a um animal	O piano não está sendo tocado por ninguém
Entailment	909	4.8	Um homem e uma mulher estão descendo uma rua da cidade	Um homem e uma mulher estão descendo a rua de uma cidade
None	5973	3.5	Um menino está afastando o violão	Uma criança está tocando um violão
Entailment	2681	4.5	O homem está vestindo um traje de mergulho e está montando uma prancha de surf	A pessoa está vestindo um traje de mergulho e está em cima de uma prancha de surf
Entailment	2128	4.7	Um homem está arrumando uma cama	Uma pessoa está fazendo uma cama
Entailment	2170	4.8	Um homem está sentado na grama e bebendo água de uma garrafa	Um homem está sentado no gramado e bebendo de uma garrafa de água
Entailment	1548	4.9	Uma menina está tocando uma flauta	Uma flauta está sendo tocada por uma menina
Entailment	2623	4.9	Um cachorro preto está pulando de um fardo de feno cilíndrico	Um cachorro negro está saltando de um fardo de feno cilíndrico
Entailment	1694	4.0	Um homem está em pé no topo do telhado e está tocando um violino	Um homem está de pé sobre um telhado
None	4239	3.1	Um menino está acenando do oceano para alguns jovens corredores	Uma criança está correndo para dentro e para fora das ondas oceânicas
Entailment	2292	4.6	Um homem de bicicleta está andando na costa	Um homem de bicicleta está pedalando na praia
Entailment	1204	4.4	O filhote de cachorro está brincando com um recipiente de plástico	O cachorro está brincando com um recipiente plástico
